case,episode,label,A,B,A_choices,B_choices
C01,E01,not_retained,1.0,1.0,"['not_retained', 'not_retained', 'not_retained']","['not_retained', 'not_retained', 'not_retained']"
C02,E01,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C03,E01,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C04,E01,not_retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
C05,E02,not_retained,1.0,1.0,"['not_retained', 'not_retained', 'not_retained']","['not_retained', 'not_retained', 'not_retained']"
C06,E02,retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
C07,E02,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C08,E02,not_retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
C09,E03,not_retained,1.0,1.0,"['not_retained', 'not_retained', 'not_retained']","['not_retained', 'not_retained', 'not_retained']"
C10,E03,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C11,E03,retained,0.3333333333333333,0.0,"['retained', 'observe', 'observe']","['observe', 'observe', 'observe']"
C12,E03,not_retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
C13,E04,not_retained,1.0,1.0,"['not_retained', 'not_retained', 'not_retained']","['not_retained', 'not_retained', 'not_retained']"
C14,E04,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C15,E04,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C16,E04,not_retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
C17,E05,not_retained,1.0,1.0,"['not_retained', 'not_retained', 'not_retained']","['not_retained', 'not_retained', 'not_retained']"
C18,E05,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C19,E05,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C20,E05,not_retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
C21,E06,not_retained,1.0,1.0,"['not_retained', 'not_retained', 'not_retained']","['not_retained', 'not_retained', 'not_retained']"
C22,E06,retained,1.0,1.0,"['retained', 'retained', 'retained']","['retained', 'retained', 'retained']"
C23,E06,retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
C24,E06,retained,0.0,0.0,"['observe', 'observe', 'observe']","['observe', 'observe', 'observe']"
